Task,Model,Params(M),Size(MB),mAP@0.5,mAP@0.75,mAP@0.5:0.95,Precision,Recall,Train(min),Inf(ms)
task1_den,YOLOv8n,3.011,5.96,0.9312,0,0.6758,0.8341,0.8873,96.2,29.52
task1_den,YOLO11n,2.59,5.22,0.9275,0,0.6672,0.8213,0.907,110.1,28.92
task1_den,YOLO26n,2.568,5.26,0.934,0,0.6724,0.82,0.9095,172.9,27.53
task2_tivi,YOLOv8n,3.011,5.94,0.6964,0,0.5626,0.7523,0.6364,3.1,22.14
task2_tivi,YOLO11n,2.59,5.19,0.6887,0,0.4799,0.8747,0.635,2.8,32.11
task2_tivi,YOLO26n,2.568,5.24,0.6537,0,0.4747,0.8535,0.5455,5.4,31.32
task3_may_lanh,YOLOv8n,3.011,5.94,0.9169,0,0.7942,0.9567,0.8986,49.3,32.11
task3_may_lanh,YOLO11n,2.59,5.2,0.9166,0,0.7775,0.9647,0.9038,55.5,34
task3_may_lanh,YOLO26n,2.568,5.24,0.916,0,0.7843,0.9708,0.8998,81.9,36.9
task4_nguoi,YOLOv8n,3.011,5.94,0.9041,0,0.6422,0.8853,0.8356,43.2,28.72
task4_nguoi,YOLO11n,2.59,5.2,0.8924,0,0.6269,0.8383,0.8418,46.1,37.3
task4_nguoi,YOLO26n,2.568,5.24,0.8999,0,0.6254,0.8577,0.8234,66,34.7
task5_quat,YOLOv8n,3.011,5.96,0.9784,0,0.8192,0.9418,0.9457,56.9,30.32
task5_quat,YOLO11n,2.59,5.22,0.9778,0,0.8093,0.9508,0.919,65.3,33.31
task5_quat,YOLO26n,2.568,5.26,0.9718,0,0.8127,0.9406,0.9363,97,37.3
task6_may_chieu,YOLOv8n,3.011,5.94,0.995,0,0.8955,0.0058,1,0.9,19.55
task6_may_chieu,YOLO11n,2.59,5.19,0.995,0,0.796,0.0058,1,0.7,30.52
task6_may_chieu,YOLO26n,2.568,5.24,0.995,0,0.8955,0.0064,1,1.2,25.33
